id,Date,items
304,23-03-2015,"""pork"",""beef"",""packaged fruit/vegetables"",""tropical fruit"",""soda"",""root vegetables"",""whole milk"",""liquor"",""sweet spreads"",""yogurt"",""rolls/buns"",""shopping bags"""
305,27-01-2015,"""ice cream"",""fish"",""chicken"",""citrus fruit"",""pickled vegetables"",""pork"",""soda"",""hard cheese"",""newspapers"""
306,12-03-2015,"""meat"",""whole milk"",""whipped/sour cream"""
307,16-05-2015,"""other vegetables"",""pip fruit"",""white wine"",""tropical fruit"",""domestic eggs"",""rolls/buns"",""sweet spreads"""
308,18-04-2015,"""bottled water"",""oil"",""other vegetables"",""tropical fruit"",""ice cream"",""chocolate"",""coffee"",""pork"",""shopping bags"",""salt"",""jam"""
309,12-03-2015,"""photo/film"",""white wine"",""rolls/buns"",""citrus fruit"",""whole milk"",""rolls/buns"",""chewing gum"",""sugar"""
310,29-09-2015,"""sausage"",""canned beer"",""napkins"",""pot plants"",""other vegetables"",""napkins"",""root vegetables"",""detergent"",""hard cheese"",""margarine"",""whipped/sour cream"",""chocolate"",""sugar"",""specialty cheese"",""hygiene articles"",""white wine"""
311,17-05-2015,"""grapes"",""rolls/buns"",""pot plants"""
312,24-05-2015,"""domestic eggs"",""organic sausage"",""tropical fruit"",""yogurt"",""other vegetables"",""chewing gum"",""white bread"",""hamburger meat"",""whole milk"",""soda"",""bottled beer"",""baking powder"",""brown bread"",""butter"",""soda"",""yogurt"",""fruit/vegetable juice"",""oil"",""rolls/buns"",""waffles"""
313,03-04-2015,"""rolls/buns"",""pastry"",""pork"",""herbs"",""whole milk"",""beverages"",""root vegetables"",""chewing gum"",""margarine"",""meat"",""sliced cheese"",""grapes"",""sauces"",""yogurt"",""rum"",""bottled water"",""domestic eggs"""
314,15-11-2015,"""tropical fruit"",""bottled water"",""sausage"",""whole milk"",""yogurt"",""soda"",""beverages"",""hamburger meat"",""rolls/buns"",""other vegetables"",""white bread"",""frozen meals"""
315,25-06-2015,"""chicken"",""other vegetables"",""pork"",""margarine"",""frozen fish"",""waffles"",""brown bread"""
316,21-06-2015,"""frankfurter"",""meat"",""berries"",""shopping bags"",""canned fish"",""baking powder"",""frozen vegetables"""
317,02-04-2015,"""berries"",""finished products"",""dessert"",""condensed milk"",""rolls/buns"",""herbs"",""whipped/sour cream"",""brown bread"",""waffles"",""dish cleaner"""
318,21-07-2015,"""margarine"",""fruit/vegetable juice"",""meat"",""beef"",""rolls/buns"",""pasta"",""whipped/sour cream"",""baking powder"""
319,25-07-2015,"""tropical fruit"",""butter"",""pork"",""curd"",""coffee"",""meat"",""other vegetables"",""citrus fruit"",""whole milk"",""oil"",""domestic eggs"",""white wine"",""cream cheese "",""yogurt"",""chocolate"",""specialty chocolate"",""specialty bar"",""vinegar"""
320,24-07-2015,"""ham"",""instant coffee"",""other vegetables"",""pork"",""packaged fruit/vegetables"",""whole milk"",""chewing gum"",""margarine"",""other vegetables"",""specialty bar"",""other vegetables"",""shopping bags"",""whipped/sour cream"""
321,26-04-2015,"""hamburger meat"",""tropical fruit"",""chewing gum"",""spread cheese"",""curd"""
322,27-12-2015,"""yogurt"",""tropical fruit"",""citrus fruit"",""citrus fruit"",""sliced cheese"",""margarine"",""newspapers"",""sweet spreads"",""whipped/sour cream"",""shopping bags"""
323,17-09-2015,"""soda"",""nuts/prunes"",""whole milk"",""domestic eggs"",""chicken"",""sausage"",""pork"",""brown bread"",""root vegetables"",""bottled beer"",""yogurt"",""red/blush wine"",""bottled water"",""hygiene articles"",""newspapers"",""brown bread"""
324,04-07-2015,"""yogurt"",""pork"",""frozen potato products"",""pet care"",""pip fruit"",""female sanitary products"",""pastry"",""whole milk"",""frozen meals"",""cake bar"",""whole milk"",""other vegetables"",""fruit/vegetable juice"",""other vegetables"",""curd"",""berries"",""frozen vegetables"",""fruit/vegetable juice"",""bottled beer"""
325,11-03-2015,"""soda"",""chicken"",""frankfurter"",""onions"",""rolls/buns"",""citrus fruit"",""canned vegetables"",""cream cheese "",""pip fruit"",""hygiene articles"",""napkins"",""white wine"",""specialty cheese"",""margarine"",""white bread"",""whipped/sour cream"",""pasta"",""domestic eggs"""
326,09-03-2015,"""sausage"",""bottled water"",""soda"",""ice cream"",""chicken"",""curd"",""frozen meals"",""domestic eggs"",""rolls/buns"",""red/blush wine"",""onions"",""yogurt"",""instant coffee"",""fruit/vegetable juice"",""newspapers"""
327,28-11-2015,"""citrus fruit"",""curd"",""pip fruit"",""pip fruit"",""chocolate"",""frozen vegetables"",""sugar"",""salty snack"",""margarine"",""whole milk"",""margarine"",""pastry"""
328,26-07-2015,"""newspapers"",""sausage"",""photo/film"",""other vegetables"",""yogurt"",""sausage"",""brown bread"",""chicken"",""beverages"",""other vegetables"",""sugar"",""rolls/buns"",""soda"",""domestic eggs"",""pip fruit"",""soda"",""newspapers"""
329,02-09-2015,"""frankfurter"",""pork"",""tropical fruit"",""other vegetables"",""citrus fruit"",""soda"",""whole milk"",""yogurt"",""salty snack"",""pickled vegetables"",""other vegetables"",""soda"",""fruit/vegetable juice"""
330,30-03-2015,"""sausage"",""canned beer"",""meat"",""canned beer"",""whipped/sour cream"",""root vegetables"",""bottled water"",""yogurt"",""rolls/buns"",""shopping bags"",""candy"",""nut snack"",""whole milk"",""butter"",""hard cheese"""
331,28-01-2015,"""frankfurter"",""photo/film"",""bottled beer"",""citrus fruit"",""other vegetables"",""oil"",""margarine"",""soda"",""fruit/vegetable juice"""
332,07-10-2015,"""salt"",""other vegetables"",""pip fruit"",""canned beer"",""pastry"",""white bread"",""roll products "",""sliced cheese"""
333,08-09-2015,"""oil"",""bottled water"",""whipped/sour cream"",""roll products "",""butter milk"""
334,03-05-2015,"""curd"",""pip fruit"",""cake bar"",""abrasive cleaner"",""ketchup"""
335,06-04-2015,"""other vegetables"",""whole milk"",""beef"",""bottled beer"",""yogurt"""
336,04-01-2015,"""citrus fruit"",""tropical fruit"",""napkins"",""rolls/buns"",""sliced cheese"",""whole milk"",""whole milk"",""chocolate marshmallow"""
337,04-02-2015,"""frankfurter"",""berries"",""bottled water"",""pastry"",""citrus fruit"",""tropical fruit"",""soda"",""margarine"",""whipped/sour cream"",""seasonal products"",""cake bar"",""berries"",""napkins"",""butter"",""bottled beer"""
338,20-09-2015,"""root vegetables"",""pork"",""whole milk"",""ice cream"",""long life bakery product"",""skin care"",""margarine"""
339,30-05-2015,"""beef"",""soda"",""whole milk"",""other vegetables"",""hamburger meat"",""hamburger meat"",""citrus fruit"",""dish cleaner"",""white wine"",""chocolate"",""curd"",""coffee"",""beverages"",""coffee"",""mayonnaise"",""newspapers"",""pip fruit"",""margarine"""
340,04-10-2015,"""whipped/sour cream"",""whole milk"",""oil"""
341,11-01-2015,"""root vegetables"",""specialty cheese"",""pork"",""semi-finished bread"",""root vegetables"",""yogurt"",""spread cheese"",""dish cleaner"",""frozen vegetables"""
342,21-01-2015,"""whole milk"",""sausage"",""pork"",""other vegetables"",""other vegetables"",""UHT-milk"",""soda"",""sliced cheese"",""soda"",""red/blush wine"",""beverages"",""yogurt"",""rolls/buns"",""frozen vegetables"",""shopping bags"""
343,10-02-2015,"""beef"",""spread cheese"",""cake bar"""
344,05-08-2015,"""frozen vegetables"",""pork"",""whole milk"",""bottled water"",""salt"",""sausage"",""other vegetables"",""root vegetables"",""cling film/bags"",""pastry"",""yogurt"",""liquor"",""bottled water"",""yogurt"",""soda"",""bottled water"",""soft cheese"",""brown bread"",""curd"",""whole milk"",""bottled beer"",""dishes"",""domestic eggs"",""rolls/buns"",""sweet spreads"""
345,10-01-2015,"""rolls/buns"",""pip fruit"",""citrus fruit"",""root vegetables"",""soft cheese"",""whipped/sour cream"",""syrup"",""cling film/bags"",""fruit/vegetable juice"",""baking powder"",""pickled vegetables"""
346,17-10-2015,"""whole milk"",""chicken"",""canned beer"",""yogurt"",""red/blush wine"",""whole milk"",""baking powder"",""curd"",""newspapers"""
347,28-12-2015,"""whole milk"",""pork"",""pip fruit"",""shopping bags"",""white bread"",""butter"",""frozen fish"",""misc. beverages"",""cream cheese """
348,16-07-2015,"""citrus fruit"",""whole milk"",""yogurt"",""coffee"",""coffee"""
349,24-01-2015,"""pastry"",""brandy"",""soda"""
350,19-05-2015,"""frankfurter"",""tropical fruit"",""pastry"",""pork"",""yogurt"",""other vegetables"",""ketchup"""
351,05-01-2015,"""tropical fruit"",""pork"",""pastry"",""bottled water"",""bottled water"",""whipped/sour cream"",""other vegetables"",""brown bread"",""whipped/sour cream"""
352,25-10-2015,"""frankfurter"",""frankfurter"",""beef"",""sausage"",""whole milk"",""soda"",""curd"",""white bread"",""whole milk"",""soda"",""whipped/sour cream"",""rolls/buns"""
353,28-04-2015,"""rolls/buns"",""pastry"",""liver loaf"",""bottled water"",""berries"",""waffles"",""vinegar"""
354,22-11-2015,"""root vegetables"",""whole milk"",""turkey"",""pip fruit"",""bottled water"""
355,18-08-2015,"""yogurt"",""sausage"",""herbs"",""yogurt"",""whole milk"",""berries"",""margarine"",""hygiene articles"",""soft cheese"",""rolls/buns"",""chocolate"""
356,18-12-2015,"""other vegetables"",""hamburger meat"",""soda"",""bottled water"",""brown bread"",""baking powder"",""root vegetables"",""UHT-milk"",""yogurt"",""coffee"",""salty snack"",""seasonal products"",""canned beer"""
357,11-02-2015,"""berries"",""chicken"",""soft cheese"",""pork"",""grapes"",""citrus fruit"",""white bread"",""fruit/vegetable juice"",""onions"",""sugar"""
358,19-06-2015,"""berries"",""rolls/buns"",""whipped/sour cream"",""tropical fruit"",""detergent"",""UHT-milk"",""dessert"",""bottled beer"",""butter milk"",""UHT-milk"",""misc. beverages"",""berries"",""dessert"",""newspapers"""
359,13-03-2015,"""other vegetables"",""whole milk"",""soda"""
360,28-12-2015,"""rolls/buns"",""curd"",""root vegetables"",""pip fruit"",""canned beer"",""turkey"",""other vegetables"",""curd"",""coffee"",""butter"",""hygiene articles"",""coffee"",""fruit/vegetable juice"",""pickled vegetables"",""cat food"",""domestic eggs"""
361,11-11-2015,"""ham"",""sausage"",""rolls/buns"",""canned beer"",""pip fruit"",""canned beer"",""other vegetables"",""male cosmetics"",""detergent"",""rolls/buns"",""salty snack"",""newspapers"",""cake bar"",""napkins"",""yogurt"""
362,11-12-2015,"""tropical fruit"",""canned beer"",""sausage"",""pork"",""curd"",""seasonal products"",""whole milk"",""whole milk"",""white wine"",""butter milk"",""yogurt"",""flour"",""vinegar"",""domestic eggs"""
363,08-04-2015,"""bottled water"",""citrus fruit"",""root vegetables"",""soda"",""tropical fruit"",""long life bakery product"",""brown bread"",""pastry"",""domestic eggs"""
364,20-01-2015,"""butter milk"",""pork"",""soda"",""other vegetables"",""bottled beer"",""soft cheese"",""candles"",""frozen fish"",""whole milk"",""skin care"",""chocolate"",""berries"",""pot plants"""
365,30-09-2015,"""newspapers"",""sausage"",""sausage"",""pip fruit"",""tropical fruit"",""salty snack"",""salty snack"",""root vegetables"",""pasta"",""rum"",""rolls/buns"",""beverages"",""salty snack"",""bottled water"",""margarine"",""canned fish"",""brown bread"""
366,10-11-2015,"""coffee"",""candy"",""root vegetables"",""rolls/buns"",""whipped/sour cream"",""UHT-milk"""
367,26-05-2015,"""bottled beer"",""bottled beer"",""cat food"",""root vegetables"",""tropical fruit"",""other vegetables"",""rolls/buns"",""onions"",""whole milk"",""tidbits"",""butter"",""napkins"",""other vegetables"",""photo/film"""
368,03-04-2015,"""onions"",""whole milk"",""pastry"",""rolls/buns"",""chicken"",""bottled beer"",""canned beer"",""tropical fruit"",""citrus fruit"",""citrus fruit"",""grapes"",""pastry"",""mustard"",""seasonal products"",""root vegetables"",""other vegetables"",""yogurt"",""fruit/vegetable juice"",""whole milk"",""chewing gum"",""salty snack"",""bottled beer"",""frozen vegetables"",""margarine"""
369,23-08-2015,"""hamburger meat"",""tropical fruit"",""yogurt"",""pip fruit"",""sausage"",""tropical fruit"",""rolls/buns"",""yogurt"",""domestic eggs"",""brown bread"",""other vegetables"",""hamburger meat"",""brown bread"",""tea"",""nut snack"",""shopping bags"""
370,11-03-2015,"""sausage"",""pork"",""zwieback"",""beverages"",""jam"",""root vegetables"",""dishes"",""processed cheese"""
371,29-01-2015,"""hard cheese"",""meat"",""canned beer"",""soda"",""chicken"",""pork"",""root vegetables"",""root vegetables"",""whole milk"",""fish"",""whipped/sour cream"",""domestic eggs"",""domestic eggs"",""coffee"",""white bread"",""white bread"""
372,19-04-2015,"""sausage"",""sauces"",""rolls/buns"",""root vegetables"",""tropical fruit"",""bottled water"",""other vegetables"",""soda"",""whipped/sour cream"",""other vegetables"",""red/blush wine"",""brown bread"",""waffles"",""canned fish"",""cream cheese """
373,10-06-2015,"""hamburger meat"",""cat food"",""other vegetables"",""root vegetables"",""newspapers"",""rolls/buns"",""fruit/vegetable juice"",""rolls/buns"",""soda"",""cat food"",""domestic eggs"""
374,06-07-2015,"""onions"",""cream cheese "",""baking powder"""
375,23-11-2015,"""coffee"",""brown bread"",""rolls/buns"",""whole milk"",""soda"",""beverages"",""newspapers"""
376,03-09-2015,"""shopping bags"",""frankfurter"",""root vegetables"",""white wine"",""fruit/vegetable juice"",""processed cheese"",""soda"""
377,01-03-2015,"""yogurt"",""dessert"",""other vegetables"",""citrus fruit"",""pet care"",""rolls/buns"",""chicken"",""other vegetables"",""frozen dessert"",""whole milk"",""coffee"",""brown bread"",""soda"",""soda"",""shopping bags"""
378,25-12-2015,"""soda"",""waffles"",""onions"",""tropical fruit"",""pip fruit"",""bottled beer"",""shopping bags"",""bottled beer"",""soda"",""specialty cheese"",""domestic eggs"",""frozen vegetables"",""frozen meals"",""cream cheese "",""baking powder"",""fruit/vegetable juice"",""whipped/sour cream"",""canned fish"",""whipped/sour cream"",""curd"""
379,06-11-2015,"""sliced cheese"",""pip fruit"",""frozen meals"",""frankfurter"",""root vegetables"",""dessert"",""white bread"",""brown bread"",""whipped/sour cream"",""whipped/sour cream"",""cream cheese "",""specialty bar"",""fruit/vegetable juice"",""pastry"""
380,24-05-2015,"""yogurt"",""whole milk"",""rolls/buns"",""soda"""
381,03-10-2015,"""domestic eggs"",""whole milk"",""tropical fruit"",""citrus fruit"",""onions"",""fruit/vegetable juice"",""rolls/buns"",""domestic eggs"",""rolls/buns"",""sugar"",""mustard"",""rolls/buns"""
382,22-08-2015,"""whole milk"",""salty snack"",""pork"",""pastry"",""meat"",""white wine"",""whole milk"",""liquor"",""butter milk"",""mayonnaise"",""popcorn"""
383,01-06-2015,"""meat"",""packaged fruit/vegetables"",""citrus fruit"",""canned beer"",""other vegetables"",""whole milk"",""pip fruit"",""specialty chocolate"",""dessert"",""brown bread"",""whole milk"",""bottled water"",""specialty bar"",""coffee"""
384,13-10-2015,"""dish cleaner"",""whole milk"",""whole milk"",""bottled beer"",""pastry"",""whole milk"",""whole milk"",""margarine"",""butter"",""hard cheese"",""whole milk"",""chocolate"",""canned vegetables"""
385,15-10-2015,"""other vegetables"",""chicken"",""yogurt"",""organic sausage"",""dessert"",""tropical fruit"",""whipped/sour cream"",""other vegetables"",""rolls/buns"",""butter"",""soft cheese"""
386,10-12-2015,"""whole milk"",""rolls/buns"",""sausage"",""frankfurter"",""hygiene articles"",""bottled beer"",""specialty bar"",""pork"",""soda"",""pasta"",""canned fish"",""chocolate"",""fruit/vegetable juice"",""shopping bags"",""soups"",""pasta"""
387,06-10-2015,"""other vegetables"",""onions"",""pip fruit"",""other vegetables"",""hard cheese"",""sausage"",""canned fish"",""pip fruit"",""rolls/buns"",""pip fruit"",""grapes"",""other vegetables"""
388,03-01-2015,"""tropical fruit"",""canned beer"",""frankfurter"",""whole milk"",""citrus fruit"",""beef"",""meat"",""rolls/buns"",""waffles"",""rolls/buns"",""fruit/vegetable juice"",""whole milk"",""whole milk"",""cat food"",""brown bread"",""curd"",""white bread"",""shopping bags"",""frozen meals"",""processed cheese"",""pastry"",""sugar"""
389,24-04-2015,"""baking powder"",""chicken"",""chicken"",""whole milk"",""turkey"",""beef"",""other vegetables"",""canned beer"",""soda"",""chocolate"",""shopping bags"""
390,21-01-2015,"""specialty bar"",""bottled water"",""sugar"",""tropical fruit"",""sausage"",""yogurt"",""tropical fruit"",""other vegetables"",""tropical fruit"",""pastry"",""curd"",""semi-finished bread"",""tropical fruit"",""soda"",""white bread"",""mayonnaise"",""butter"""
391,29-04-2015,"""ice cream"",""whole milk"",""sausage"",""rolls/buns"",""coffee"",""meat"",""yogurt"",""other vegetables"""
392,08-07-2015,"""frankfurter"",""other vegetables"",""soda"",""sausage"",""specialty bar"",""cream cheese """
393,18-04-2015,"""bottled water"",""root vegetables"",""chicken"",""citrus fruit"",""frozen vegetables"",""dishes"""
394,15-02-2015,"""other vegetables"",""whole milk"",""root vegetables"",""other vegetables"",""pip fruit"",""photo/film"",""tropical fruit"",""root vegetables"",""red/blush wine"",""frozen vegetables"",""frozen meals"",""pastry"",""soda"",""root vegetables"",""newspapers"",""UHT-milk"",""specialty chocolate"",""margarine"""
395,28-04-2015,"""citrus fruit"",""grapes"",""whole milk"",""whole milk"",""whole milk"",""sliced cheese"",""spread cheese"",""ice cream"",""other vegetables"",""pastry"",""butter"",""ice cream"",""soda"",""coffee"",""root vegetables"",""specialty bar"",""yogurt"",""red/blush wine"",""fruit/vegetable juice"",""spices"",""curd"",""whipped/sour cream"""
396,20-03-2015,"""sausage"",""canned beer"",""white bread"",""other vegetables"",""margarine"",""other vegetables"",""brown bread"",""flour"",""yogurt"",""shopping bags"",""flour"",""other vegetables"",""flour"",""seasonal products"""
397,04-07-2015,"""domestic eggs"",""whole milk"",""frankfurter"",""rolls/buns"",""pip fruit"",""pip fruit"",""bottled beer"",""newspapers"",""tropical fruit"",""other vegetables"",""yogurt"",""soda"",""frozen meals"",""soups"",""yogurt"",""UHT-milk"""
398,06-11-2015,"""pork"",""sausage"",""candles"",""root vegetables"",""brown bread"",""other vegetables"",""cream cheese "",""rolls/buns"""
399,21-06-2015,"""specialty cheese"",""ham"",""hard cheese"",""tropical fruit"",""bottled beer"",""dessert"",""sliced cheese"",""rolls/buns"",""whole milk"",""white bread"",""liquor (appetizer)"",""bottled water"""
400,01-05-2015,"""pork"",""sausage"",""soda"",""berries"",""pip fruit"",""root vegetables"",""red/blush wine"",""brown bread"",""bottled beer"""
401,21-03-2015,"""beef"",""onions"",""meat"",""root vegetables"",""grapes"",""curd"",""UHT-milk"",""white bread"""
402,01-10-2015,"""other vegetables"",""root vegetables"",""bottled beer"",""newspapers"",""beef"",""citrus fruit"",""pastry"",""canned beer"",""yogurt"",""curd"",""semi-finished bread"",""fruit/vegetable juice"""
403,18-03-2015,"""chicken"",""tropical fruit"",""pip fruit"",""mayonnaise"",""other vegetables"",""meat"",""frozen dessert"",""whole milk"",""citrus fruit"",""roll products "",""coffee"",""napkins"",""frozen meals"",""newspapers"",""rolls/buns"",""salty snack"""
404,24-05-2015,"""soda"",""sausage"",""sausage"",""tropical fruit"",""beverages"",""cream cheese """
405,12-10-2015,"""whole milk"",""tropical fruit"",""ham"",""root vegetables"",""bottled beer"",""pastry"",""sausage"",""other vegetables"",""tropical fruit"",""citrus fruit"",""whole milk"",""yogurt"",""other vegetables"",""rolls/buns"",""sugar"",""zwieback"",""sugar"",""condensed milk"",""domestic eggs"",""tropical fruit"",""margarine"",""curd"",""baking powder"",""domestic eggs"",""flour"",""whole milk"",""rolls/buns"",""bathroom cleaner"",""whole milk"",""onions"",""pastry"",""waffles"",""canned beer"",""newspapers"",""margarine"",""sugar"""
406,06-07-2015,"""rolls/buns"",""canned beer"",""meat"",""root vegetables"",""other vegetables"",""curd"",""other vegetables"",""bottled beer"""
407,23-03-2015,"""bottled beer"",""other vegetables"",""whole milk"",""butter milk"",""bottled beer"",""shopping bags"",""cleaner"""
408,06-02-2015,"""root vegetables"",""pork"",""rolls/buns"",""yogurt"",""rolls/buns"",""yogurt"",""whipped/sour cream"",""canned fish"",""shopping bags"",""canned beer"""
409,21-12-2015,"""pastry"",""ice cream"",""sausage"",""whole milk"",""meat spreads"",""meat"",""rolls/buns"",""soda"",""pip fruit"",""domestic eggs"",""sugar"",""bottled water"""
410,12-08-2015,"""citrus fruit"",""yogurt"",""tropical fruit"",""condensed milk"",""grapes"",""soda"",""hamburger meat"",""margarine"""
411,26-04-2015,"""whole milk"",""fruit/vegetable juice"",""root vegetables"",""rolls/buns"",""roll products "",""domestic eggs"",""pastry"",""mustard"""
412,27-09-2015,"""soda"",""semi-finished bread"""
413,11-06-2015,"""bottled water"",""frankfurter"",""root vegetables"",""rolls/buns"",""white bread"",""butter milk"""
414,25-01-2015,"""tropical fruit"",""brown bread"",""rolls/buns"",""chocolate"",""hygiene articles"",""citrus fruit"",""citrus fruit"",""frozen fish"",""cat food"",""white bread"",""chocolate"""
415,30-10-2015,"""salty snack"",""citrus fruit"",""hamburger meat"",""rolls/buns"",""whole milk"",""bottled beer"",""frozen vegetables"",""cream cheese "",""newspapers"",""flower (seeds)"",""white bread"",""whole milk"",""curd"",""napkins"""
416,10-01-2015,"""bottled water"",""liquor (appetizer)"",""whole milk"",""frankfurter"",""sausage"",""yogurt"",""sausage"",""soda"",""other vegetables"",""whipped/sour cream"",""rolls/buns"",""whole milk"",""instant coffee"",""berries"",""chocolate"",""pot plants"",""packaged fruit/vegetables"",""soda"",""pastry"",""yogurt"",""pork"",""bottled beer"",""other vegetables"",""bottled water"",""pip fruit"",""shopping bags"",""white bread"",""flower (seeds)"",""bottled beer"",""soda"",""pudding powder"",""shopping bags"",""brown bread"""
417,21-06-2015,"""chocolate"",""whole milk"",""bottled water"",""baking powder"",""root vegetables"",""hard cheese"",""shopping bags"",""liqueur"",""shopping bags"""
418,17-03-2015,"""citrus fruit"",""frankfurter"",""berries"",""soda"",""pastry"",""pet care"",""newspapers"",""soda"",""onions"",""berries"",""flower (seeds)"",""other vegetables"""
419,16-09-2015,"""bottled water"",""bottled beer"",""root vegetables"",""whole milk"",""other vegetables"",""tropical fruit"",""pip fruit"",""dessert"",""fruit/vegetable juice"",""napkins"",""rolls/buns"",""whisky"""
420,30-04-2015,"""onions"",""beef"",""bottled beer"",""sausage"",""citrus fruit"",""onions"",""beef"",""whole milk"",""dessert"",""cat food"",""whole milk"",""other vegetables"""
421,15-03-2015,"""dessert"",""pork"",""pork"",""bottled water"",""tea"""
422,06-09-2015,"""beef"",""ham"",""fish"",""sausage"",""citrus fruit"",""rolls/buns"",""whole milk"",""butter"",""cream cheese "",""bottled beer"",""whipped/sour cream"",""whole milk"",""newspapers"",""yogurt"""
423,27-04-2015,"""rolls/buns"",""other vegetables"",""beef"",""canned beer"",""rolls/buns"",""ice cream"",""citrus fruit"",""soda"",""curd"",""herbs"",""soda"",""whipped/sour cream"",""butter"",""margarine"""
424,13-02-2015,"""beef"",""rolls/buns"",""pastry"",""seasonal products"",""beef"",""other vegetables"",""rolls/buns"",""white bread"""
425,04-03-2015,"""soda"",""ham"",""soda"",""margarine"",""pip fruit"",""cake bar"",""bottled beer"",""spread cheese"",""bottled water"",""cereals"""
426,02-07-2015,"""coffee"",""whole milk"",""ham"",""sausage"",""bottled water"",""whole milk"",""other vegetables"",""whole milk"",""dessert"",""cream cheese "",""whole milk"",""ketchup"",""bottled beer"",""baking powder"",""soda"",""chewing gum"""
427,11-03-2015,"""rolls/buns"",""zwieback"",""misc. beverages"",""frankfurter"",""whole milk"",""whole milk"",""frozen vegetables"",""waffles"",""whole milk"",""napkins"",""yogurt"",""bottled beer"",""salty snack"""
428,29-12-2015,"""soda"",""sausage"",""chicken"",""photo/film"",""root vegetables"",""specialty bar"",""frozen fish"",""yogurt"",""whipped/sour cream"",""bottled water"",""soups"",""domestic eggs"",""fruit/vegetable juice"",""decalcifier"""
429,13-08-2015,"""sausage"",""pip fruit"",""bottled beer"",""other vegetables"",""citrus fruit"",""canned fish"",""curd"",""fruit/vegetable juice"""
430,16-06-2015,"""beef"",""sausage"",""citrus fruit"",""root vegetables"",""root vegetables"",""hamburger meat"",""ice cream"",""chocolate"",""other vegetables"",""root vegetables"",""mayonnaise"",""chewing gum"",""popcorn"",""root vegetables"",""candy"",""white bread"",""beverages"",""seasonal products"",""rolls/buns"",""whole milk"",""brown bread"",""bottled water"",""waffles"""
431,11-03-2015,"""whole milk"",""tropical fruit"",""meat"",""dessert"",""UHT-milk"",""rolls/buns"",""chocolate"",""nut snack"",""bottled water"""
432,22-07-2015,"""pork"",""other vegetables"",""UHT-milk"",""whipped/sour cream"""
433,03-03-2015,"""berries"",""brown bread"""
434,28-11-2015,"""sausage"",""frankfurter"",""yogurt"",""sausage"",""red/blush wine"",""pastry"""
435,07-08-2015,"""bottled water"",""other vegetables"",""yogurt"",""yogurt"",""soda"""
436,16-02-2015,"""tropical fruit"",""frankfurter"",""canned beer"",""frankfurter"",""pork"",""baking powder"",""curd"",""root vegetables"",""whole milk"",""root vegetables"",""long life bakery product"",""processed cheese"",""whole milk"",""root vegetables"",""frozen potato products"",""whipped/sour cream"",""whipped/sour cream"",""specialty bar"",""margarine"",""rolls/buns"",""snack products"",""sugar"",""rolls/buns"""
437,17-07-2015,"""herbs"",""other vegetables"",""tropical fruit"",""tropical fruit"",""tropical fruit"",""rolls/buns"",""root vegetables"",""instant coffee"",""citrus fruit"",""citrus fruit"",""beef"",""butter milk"",""whole milk"",""other vegetables"",""fruit/vegetable juice"",""butter milk"",""shopping bags"",""flower (seeds)"",""brown bread"""
438,21-08-2015,"""yogurt"",""meat"",""frozen meals"",""sausage"",""root vegetables"",""salty snack"",""newspapers"",""bottled beer"",""whole milk"",""domestic eggs"",""specialty cheese"",""whole milk"",""napkins"",""rolls/buns"",""sugar"""
439,11-02-2015,"""Instant food products"",""pip fruit"",""whole milk"",""root vegetables"",""tropical fruit"",""pip fruit"",""bottled water"",""UHT-milk"",""margarine"",""cream cheese """
440,28-12-2015,"""coffee"",""canned beer"",""frozen meals"",""rolls/buns"",""pork"",""pot plants"",""soda"",""napkins"",""root vegetables"",""beef"",""canned beer"",""root vegetables"",""fruit/vegetable juice"",""frozen vegetables"",""root vegetables"",""dessert"",""yogurt"",""whole milk"",""coffee"",""pastry"",""yogurt"",""coffee"""
441,04-01-2015,"""bottled beer"",""pip fruit"",""tropical fruit"",""bottled water"",""frozen potato products"",""soda"",""sweet spreads"",""chocolate"",""bottled beer"",""napkins"",""yogurt"",""candles"",""seasonal products"",""sparkling wine"",""canned fish"""
442,26-07-2015,"""beef"",""citrus fruit"",""whole milk"",""dessert"",""bottled water"",""other vegetables"""
443,27-06-2015,"""whole milk"",""pastry"",""soda"",""tropical fruit"",""frozen potato products"",""hard cheese"",""tropical fruit"",""other vegetables"",""whole milk"",""other vegetables"",""domestic eggs"",""sugar"",""curd cheese"",""bottled water"""
444,16-05-2015,"""frankfurter"",""frankfurter"",""whole milk"",""tropical fruit"",""white wine"",""meat"",""spread cheese"",""sausage"",""salt"",""bottled beer"",""onions"",""whole milk"",""pip fruit"",""mayonnaise"",""yogurt"",""semi-finished bread"",""misc. beverages"",""waffles"""
445,19-05-2015,"""frankfurter"",""citrus fruit"",""frankfurter"",""canned beer"",""hygiene articles"",""berries"",""ham"",""canned beer"",""frozen vegetables"",""pork"",""yogurt"",""pork"",""rolls/buns"",""tropical fruit"",""rolls/buns"",""soft cheese"",""bottled beer"",""rolls/buns"",""other vegetables"",""yogurt"",""whole milk"",""grapes"",""herbs"",""rolls/buns"",""onions"",""chocolate marshmallow"""
446,03-06-2015,"""other vegetables"",""citrus fruit"",""other vegetables"",""tropical fruit"",""misc. beverages"",""salty snack"",""citrus fruit"",""whole milk"",""whole milk"",""pip fruit"",""mustard"",""domestic eggs"",""canned beer"",""chewing gum"",""domestic eggs"",""sliced cheese"""
